source_no,recruitment_name,legacy_racehorse_name,mapped_racehorse_name,mapping_status,horse_id,birthday,detail_birthday,birthday_status,dam,sire,bms,sex,height_cm,chest_cm,cannon_cm,weight_kg,bdate,pred_frweight,price_man_yen,price_source,price_pct,price_pct_provisional,price_pct_status,cutoff,starts_cutoff,wins_cutoff,earnings_cutoff_man_yen,win2plus,performance_status,current_central_earnings_man_yen,current_local_earnings_man_yen,horse_url,result_url,qc_notes
497,レインデートの2017,ブレッシングレイン,,ok_mare_fallback,2017104315,2017-02-06,2017-02-06,ok,レインデート,ディープインパクト,Unbridled's Song,牡,158,177.5,21.3,457,555,487.9,9000.0,netkeiba_horse_top,0.8888888888888888,0.8888888888888888,final_80,2022-08-23,12,2,2502.0,1,ok,3007.0,0.0,https://db.netkeiba.com/horse/2017104315/,https://db.netkeiba.com/horse/result/2017104315/,
498,ミュージカルロマンスの2017,フォアシュピール,,ok_name_search,2017105579,2017-05-13,2017-05-13,ok,ミュージカルロマンス,ディープインパクト,Concorde's Tune,牡,151,167,20.4,388,459,450.1,10000.0,netkeiba_horse_top,1.0,1.0,final_80,2022-08-23,11,1,1010.0,0,ok,1010.0,0.0,https://db.netkeiba.com/horse/2017105579/,https://db.netkeiba.com/horse/result/2017105579/,
499,ヒルダズパッションの2017,サンクテュエール,,ok_name_search,2017105485,2017-02-13,2017-02-13,ok,ヒルダズパッション,ディープインパクト,Canadian Frontier,牝,151,175,19.6,443,548,443.7,8000.0,netkeiba_horse_top,0.7777777777777778,0.7777777777777778,final_80,2022-08-23,14,2,7083.8,1,ok,7083.0,0.0,https://db.netkeiba.com/horse/2017105485/,https://db.netkeiba.com/horse/result/2017105485/,
500,サミターの2017,アクニディ,,ok_mare_fallback,2017105326,2017-02-16,2017-02-16,ok,サミター,ディープインパクト,ロックオブジブラルタル,牝,149,172.5,19.7,412,545,419.9,7000.0,netkeiba_horse_top,0.6666666666666666,0.6666666666666666,final_80,2022-08-23,4,0,0.0,0,ok,0.0,0.0,https://db.netkeiba.com/horse/2017105326/,https://db.netkeiba.com/horse/result/2017105326/,
501,アディクティドの2017,サクセッション,,ok_verified_override,2017105181,2017-03-14,2017-03-14,ok,アディクティド,キングカメハメハ,ディクタット,牡,155,174.5,21.3,473,519,500.2,5000.0,netkeiba_horse_top,0.5555555555555556,0.5555555555555556,final_80,2022-08-23,14,3,5411.5,1,ok,12318.0,0.0,https://db.netkeiba.com/horse/2017105181/,https://db.netkeiba.com/horse/result/2017105181/,
502,ポロンナルワの2017,アヌラーダプラ,,ok_name_search,2017105553,2017-04-17,2017-04-17,ok,ポロンナルワ,キングカメハメハ,Rahy,牝,152.5,171,19.1,412,485,438.9,3600.0,netkeiba_horse_top,0.2222222222222222,0.2222222222222222,final_80,2022-08-23,10,5,7603.1,1,ok,7603.0,0.0,https://db.netkeiba.com/horse/2017105553/,https://db.netkeiba.com/horse/result/2017105553/,
503,ペルレンケッテの2017,バンデアミール,,ok_verified_override,2017105543,2017-02-13,2017-02-13,ok,ペルレンケッテ,ロードカナロア,ディープインパクト,牡,154,176.5,21.2,471,548,489.2,4000.0,netkeiba_horse_top,0.3333333333333333,0.3333333333333333,final_80,2022-08-23,1,0,0.0,0,ok,0.0,0.0,https://db.netkeiba.com/horse/2017105543/,https://db.netkeiba.com/horse/result/2017105543/,
504,ローガンサファイアの2017,エルサフィーロ,,ok_verified_override,2017105657,2017-04-01,2017-04-01,ok,ローガンサファイア,ロードカナロア,ダイワメジャー,牡,148,168,20.2,409,501,445.8,4400.0,Carrot official 2018 catalogue,0.4444444444444444,0.4444444444444444,final_80,2022-08-23,44,10,1079.5,1,ok,0.0,1079.0,https://db.netkeiba.com/horse/2017105657/,https://db.netkeiba.com/horse/result/2017105657/,price filled from verified official catalogue fallback
505,マチカネエンジイロの2017,サクライロ,,ok_name_search,2017105559,2017-03-04,2017-03-04,ok,マチカネエンジイロ,ロードカナロア,サンデーサイレンス,牝,154,176,20,457,529,462.5,2800.0,netkeiba_horse_top,0.1111111111111111,0.1111111111111111,final_80,2022-08-23,5,0,440.0,0,ok,440.0,0.0,https://db.netkeiba.com/horse/2017105559/,https://db.netkeiba.com/horse/result/2017105559/,
506,エクレールアンジュの2017,カドーダンジュ,,ok_mare_fallback,2017105242,2017-03-14,2017-03-14,ok,エクレールアンジュ,ロードカナロア,ゼンノロブロイ,牝,150,170,19,428,519,439.8,2600.0,netkeiba_horse_top,0.0,0.0,final_80,2022-08-23,1,0,0.0,0,ok,0.0,0.0,https://db.netkeiba.com/horse/2017105242/,https://db.netkeiba.com/horse/result/2017105242/,
